Brand,Country,Year,Monthly_Production_Tonnes,Avg_Item_Price_USD,Release_Cycles_Per_Year,Carbon_Emissions_tCO2e,Water_Usage_Million_Litres,Landfill_Waste_Tonnes,Avg_Worker_Wage_USD,Working_Hours_Per_Week,Child_Labor_Incidents,Return_Rate_Percent,Avg_Spend_Per_Customer_USD,Shopping_Frequency_Per_Year,Instagram_Mentions_Thousands,TikTok_Mentions_Thousands,Sentiment_Score,Social_Sentiment_Label,GDP_Contribution_Million_USD,Env_Cost_Index,Sustainability_Score,Transparency_Index,Compliance_Score,Ethical_Rating,Waste_per_Item,Carbon_per_Item,Water_Usage_per_Item
Shein,Indonesia,2017,574.51,19.31,16,11421.58,282.11,616.63,143.79,50,3,39.1,105.92,3,4655,3435,0.05,Neutral,608.51,0.49,29.12,61.19,13.95,1.46,0.00107331,0.0198806,0.000491045
"Forever 21",Vietnam,2024,394.5,9.3,20,5571.01,289.22,795.11,167.78,44,1,11.95,101.99,4,9655,6285,-0.12,Positive,689.49,0.21,49.52,3.44,90.93,1.29,0.00201549,0.0141217,0.000733131
Uniqlo,India,2024,310.23,25.46,11,10969,116.39,364.33,97.81,43,2,15.88,116.53,18,8016,387,0.08,Neutral,439.78,0.63,96.53,60.7,27.6,1.48,0.00117439,0.0353576,0.000375173
"Forever 21",USA,2017,218.65,13.17,13,13093,255.88,632.16,134.54,46,2,21.12,156.37,14,8254,1620,-0.06,Neutral,746.7,0.21,71.32,76.08,56.13,3.85,0.0028912,0.0598811,0.00117027
Zara,Indonesia,2016,1005.84,15.4,20,9548.4,142.07,830.1,144.33,56,0,25.26,113.41,15,1778,3292,-0.59,Neutral,571.42,0.95,59.89,69.48,88.05,3.12,0.00082528,0.00949296,0.000141245
H&M,Indonesia,2017,408.45,18.42,17,14115.59,210.53,738.14,183.66,40,0,29.43,93.89,11,4513,3798,0.38,Neutral,398.67,0.34,24.41,16.83,21.88,2.79,0.00180717,0.0345589,0.000515436
Uniqlo,Indonesia,2018,400.59,19.27,25,12453.62,136.72,648.33,172.87,63,0,28.29,100.22,7,5955,7442,0.27,Positive,500.79,0.71,53.09,44.78,55.29,2.96,0.00161844,0.0310882,0.000341297
H&M,Turkey,2021,467.85,16.55,22,7594.52,283.04,1081.04,219.62,50,2,25.25,143.69,6,6646,1419,0.02,Positive,586.3,0.3,64.52,17.44,69.09,1.93,0.00231066,0.0162328,0.00060498
H&M,Vietnam,2023,382.51,18.39,28,15616.96,223.78,674.88,123.88,55,1,17.26,127.8,11,7500,3220,0.4,Negative,656.36,0.86,85.63,40.45,88.78,4.25,0.00176435,0.0408276,0.00058503
"Forever 21",Vietnam,2016,628.1,28.94,21,10879.22,157.14,1173.15,173.69,55,1,10.54,80.1,10,1318,4546,-0.38,Positive,494.94,0.59,50.88,63.63,25.05,2.95,0.00186778,0.0173208,0.000250183
Zara,Brazil,2022,498.28,22.07,13,13628.15,232.28,1346.88,154.69,40,0,31.67,87.87,16,3544,2615,-0.26,Negative,596.49,0.11,92.83,42.82,96.67,4.82,0.00270306,0.0273504,0.000466164
Shein,Bangladesh,2016,432.13,23.89,26,8171.88,151.19,336.39,136.6,49,3,28.45,151.72,19,8196,7610,0.4,Neutral,510.27,0.42,29.36,80.94,81.01,4.34,0.000778446,0.0189107,0.000349872
